name,tag,market
Capri Global Capital Limited,CGCL.NS,NSE
TVS Holdings Limited,TVSHLTD.NS,NSE
Shyam Metalics and Energy Limited,SHYAMMETL.NS,NSE
Nuvama Wealth Management Limited,NUVAMA.NS,NSE
Krishna Institute of Medical Sciences Limited,KIMS.NS,NSE
Cello World Limited,CELLO.NS,NSE
PNB Housing Finance Limited,PNBHOUSING.NS,NSE
Redington Limited,REDINGTON.NS,NSE
Lakshmi Machine Works Limited,LAXMIMACH.NS,NSE
Jyothy Labs Limited,JYOTHYLAB.NS,NSE
CESC Limited,CESC.NS,NSE
Godfrey Phillips India Limited,GODFRYPHLP.NS,NSE
NMDC Steel Limited,NSLNISP.NS,NSE
RITES Limited,RITES.NS,NSE
Concord Biotech Limited,CONCORDBIO.NS,NSE
Indiamart Intermesh Limited,INDIAMART.NS,NSE
Aegis Logistics Limited,AEGISCHEM.NS,NSE
Olectra Greentech Limited,OLECTRA.NS,NSE
Whirlpool of India Limited,WHIRLPOOL.NS,NSE
Anand Rathi Wealth Limited,ANANDRATHI.NS,NSE
Navin Fluorine International Limited,NAVINFLUOR.NS,NSE
Jupiter Wagons Limited,JWL.NS,NSE
Aptus Value Housing Finance India Limited,APTUS.NS,NSE
Finolex Cables Limited,FINCABLES.NS,NSE
Finolex Industries Limited,FINPIPE.NS,NSE
Poly Medicure Limited,POLYMED.NS,NSE
Vinati Organics Limited,VINATIORGA.NS,NSE
Intellect Design Arena Limited,INTELLECT.NS,NSE
Jai Balaji Industries Limited,JAIBALAJI.NS,NSE
The Jammu & Kashmir Bank Limited,J&KBANK.NS,NSE
Karur Vysya Bank Limited,KARURVYSYA.NS,NSE
Blue Dart Express Limited,BLUEDART.NS,NSE
Manappuram Finance Limited,MANAPPURAM.NS,NSE
Affle (India) Limited,AFFLE.NS,NSE
NCC Limited,NCC.NS,NSE
RBL Bank Limited,RBLBANK.NS,NSE
Tata Teleservices (Maharashtra) Limited,TTML.NS,NSE
BASF India Limited,BASF.NS,NSE
V-Guard Industries Limited,VGUARD.NS,NSE
Computer Age Management Services Limited,CAMS.NS,NSE
The Great Eastern Shipping Company Limited,GESHIP.NS,NSE
Century Plyboards (India) Limited,CENTURYPLY.NS,NSE
Clean Science and Technology Limited,CLEAN.NS,NSE
Jindal Saw Limited,JINDALSAW.NS,NSE
Firstsource Solutions Limited,FSL.NS,NSE
Zensar Technologies Limited,ZENSARTECH.NS,NSE
Sobha Limited,SOBHA.NS,NSE
Chambal Fertilizers & Chemicals Limited,CHAMBLFERT.NS,NSE
Data Patterns (India) Limited,DATAPATTNS.NS,NSE
Chennai Petroleum Corporation Limited,CHENNPETRO.NS,NSE
Welspun Corp Limited,WELCORP.NS,NSE
Mahanagar Gas Limited,MGL.NS,NSE
Ksb Limited,KSB.NS,NSE
Welspun Living Limited,WELSPUNLIV.NS,NSE
Himadri Speciality Chemical Limited,HSCL.NS,NSE
DCM Shriram Limited,DCMSHRIRAM.NS,NSE
AstraZeneca Pharma India Limited,ASTRAZEN.NS,NSE
Zee Entertainment Enterprises Limited,ZEEL.NS,NSE
BEML Limited,BEML.NS,NSE
HFCL Limited,HFCL.NS,NSE
Rainbow Childrens Medicare Limited,RAINBOW.NS,NSE
Aditya Birla Sun Life AMC Limited,ABSLAMC.NS,NSE
Honasa Consumer Limited,HONASA.NS,NSE
Asahi India Glass Limited,ASAHIINDIA.NS,NSE
PVR INOX Limited,PVRINOX.NS,NSE
Amara Raja Energy & Mobility Limited,ARE&M.NS,NSE
IIFL Finance Limited,IIFL.NS,NSE
BLS International Services Limited,BLS.NS,NSE
Alok Industries Limited,ALOKINDS.NS,NSE
Vardhman Textiles Limited,VTL.NS,NSE
G R Infraprojects Limited,GRINFRA.NS,NSE
HBL Power Systems Limited,HBLPOWER.NS,NSE
WESTLIFE FOODWORLD LIMITED,WESTLIFE.NS,NSE
Ramkrishna Forgings Limited,RKFORGE.NS,NSE
Kirloskar Oil Engines Limited,KIRLOSENG.NS,NSE
TITAGARH RAIL SYSTEMS LIMITED,TITAGARH.NS,NSE
Fine Organic Industries Limited,FINEORG.NS,NSE
Amber Enterprises India Limited,AMBER.NS,NSE
Bikaji Foods International Limited,BIKAJI.NS,NSE
Sterling and Wilson Renewable Energy Limited,SWSOLAR.NS,NSE
Raymond Limited,RAYMOND.NS,NSE
Indian Energy Exchange Limited,IEX.NS,NSE
Sun Pharma Advanced Research Company Limited,SPARC.NS,NSE
Graphite India Limited,GRAPHITE.NS,NSE
Supreme Petrochem Limited,SPLPETRO.NS,NSE
Railtel Corporation Of India Limited,RAILTEL.NS,NSE
Ingersoll Rand (India) Limited,INGERRAND.NS,NSE
eClerx Services Limited,ECLERX.NS,NSE
Juniper Hotels Limited,JUNIPER.NS,NSE
Eris Lifesciences Limited,ERIS.NS,NSE
RHI MAGNESITA INDIA LIMITED,RHIM.NS,NSE
Engineers India Limited,ENGINERSIN.NS,NSE
Maharashtra Seamless Limited,MAHSEAMLES.NS,NSE
Happiest Minds Technologies Limited,HAPPSTMNDS.NS,NSE
JK Tyre & Industries Limited,JKTYRE.NS,NSE
Tejas Networks Limited,TEJASNET.NS,NSE
PNC Infratech Limited,PNCINFRA.NS,NSE
Newgen Software Technologies Limited,NEWGEN.NS,NSE
INOX India Limited,INOXINDIA.NS,NSE
Tanla Platforms Limited,TANLA.NS,NSE
Birla Corporation Limited,BIRLACORPN.NS,NSE
Bombay Burmah Trading Corporation Limited,BBTC.NS,NSE
Gujarat Mineral Development Corporation Limited,GMDCLTD.NS,NSE
Nuvoco Vistas Corporation Limited,NUVOCO.NS,NSE
Akzo Nobel India Limited,AKZOINDIA.NS,NSE
CEAT Limited,CEATLTD.NS,NSE
Reliance Power Limited,RPOWER.NS,NSE
Reliance Infrastructure Limited,RELINFRA.NS,NSE
Godawari Power And Ispat limited,GPIL.NS,NSE
Elecon Engineering Company Limited,ELECON.NS,NSE
Anant Raj Limited,ANANTRAJ.NS,NSE
Electrosteel Castings Limited,ELECTCAST.NS,NSE
D B Realty Limited,DBREALTY.NS,NSE
Equitas Small Finance Bank Limited,EQUITASBNK.NS,NSE
Kfin Technologies Limited,KFINTECH.NS,NSE
Bajaj Electricals Limited,BAJAJELEC.NS,NSE
Latent View Analytics Limited,LATENTVIEW.NS,NSE
Jaiprakash Power Ventures Limited,JPPOWER.NS,NSE
Granules India Limited,GRANULES.NS,NSE
Aavas Financiers Limited,AAVAS.NS,NSE
Aether Industries Limited,AETHER.NS,NSE
UTI Asset Management Company Limited,UTIAMC.NS,NSE
Lemon Tree Hotels Limited,LEMONTREE.NS,NSE
JK Lakshmi Cement Limited,JKLAKSHMI.NS,NSE
Gujarat Pipavav Port Limited,GPPL.NS,NSE
Sheela Foam Limited,SFL.NS,NSE
PCBL LIMITED,PCBL.NS,NSE
C.E. Info Systems Limited,MAPMYINDIA.NS,NSE
ROUTE MOBILE LIMITED,ROUTE.NS,NSE
Can Fin Homes Limited,CANFINHOME.NS,NSE
City Union Bank Limited,CUB.NS,NSE
